"Return","Risk","SharpeRatio","Midcap_Wt","Adani_Wt","US_Nasdaq_Wt","Gold_Wt","Nestle_Wt","HDFC_Wt","LT_Wt"
0.355997726283859,0.436077540222044,0.678773151520581,6.1,9.3,17.7,11.2,20,16.9,18.8
0.45855832707323,0.586953545389985,0.679028741207141,18,16.3,23.4,15.7,18.6,1.6,6.4
0.255807983604728,0.182082296741525,1.07538177576202,17,20,19.3,0.4,14.6,15.1,13.6
0.227543077749408,0.168546486008999,0.994046697244474,18.9,10.8,12,1.2,16.5,20.3,20.2
0.356054957983301,0.485982482925989,0.609188537415634,8.5,1.8,18.9,12.8,11.7,17.1,29.2
0.536019113068802,0.691200990100644,0.688684072919933,20.5,28.8,9,18.3,4.5,6.6,12.4
0.53886620446379,0.861310554728894,0.555973918854992,10.9,14.5,6.1,23.6,20.9,13.2,10.9
0.635771849853887,1.0933374553643,0.526618608947262,13.6,13.3,11,30.2,18.8,3.2,10
0.284955164632115,0.240901619941079,0.933805113834998,21.3,13.7,20.6,4.7,2.8,25.2,11.6
0.483870660427599,0.671109505535504,0.631596865982961,18.1,18.1,7.8,18.1,12.7,13.1,12.2
0.348609291265018,0.455068414958925,0.634210773101159,20.1,3.7,3.5,12,16.5,17.1,27.1
0.334034198677352,0.317238425294257,0.863811495795849,2.1,18.6,21.5,6.9,14.6,16.3,20
0.294764603086813,0.245985622923104,0.954383432239052,16.2,11.6,29.4,5.3,24.3,8.6,4.5
0.471486244359877,0.636269301506277,0.646717110798434,10.4,17.5,17.2,17,11.3,11,15.7
0.332678651934046,0.468153872448917,0.582455188307344,8.5,0.8,9.2,12.2,11.8,26.4,31
0.406202090350927,0.523678951347193,0.661096057919271,28.3,10,21.3,14,7.9,13.7,4.8
0.583974938724826,0.903939545676688,0.579657059181517,17.8,18.3,10.6,24.8,18.7,1.2,8.7
0.390310333437236,0.464419580606621,0.711232573367789,20,12.3,7.3,12.1,15.5,9,23.7
0.535775980786467,0.805904908669158,0.590362430689429,4.2,20.3,6.3,21.8,18.6,13.8,15.1
0.644629960482809,1.0174512116726,0.574602451474533,23.3,25.1,0.9,27.8,2.6,10.1,10.1
0.586357709461725,0.904436125200774,0.581973336530405,8.5,24.8,15.9,24.5,3.2,21,2.1
0.355296115406809,0.467366658692629,0.631829656468959,26.2,4.8,5.7,12.3,0.4,24.9,25.8
0.374463607814459,0.459996712129345,0.683621424941915,28.2,11.4,8.6,12,5,23.1,11.7
0.460394917295324,0.601227554909051,0.665962353232284,19.6,18.7,3.8,16,10.5,12.6,18.8
0.281429065956659,0.284273852552868,0.778928712465662,10,7.1,21.1,6.4,14.5,23.2,17.7
0.266551923559736,0.198393531580887,1.04112226801872,10.5,20.6,18.4,1.6,17.5,18.9,12.5
0.494034954752858,0.65159670949548,0.666109801396824,19.4,22.6,7.9,17.4,8.1,11.6,13
0.255342108328937,0.182789715463254,1.06867122055456,13.1,18.3,17.4,0.9,20.5,13.4,16.3
0.392686006929204,0.594810110913939,0.559314646514708,19.3,0.7,16.5,16.1,9.6,20.9,16.9
0.465153937704145,0.62284079126897,0.65049358260349,9.3,21.8,4,16.4,7.5,22.5,18.6
0.709902758725608,1.1180599078826,0.581277223289763,2.9,33.4,10.8,30.4,8.1,5,9.4
0.528585628410636,0.806625300453038,0.580921064771285,20.9,18.9,4,21.9,1.9,24.3,8.1
0.451361832706133,0.614358256083231,0.63702543073355,17.1,13.2,18.7,16.4,2.5,14.3,17.7
0.320604707950309,0.362121636093807,0.719660694018294,22.7,7.3,4.8,9.2,24.8,16.5,14.7
0.33550935499233,0.378913240644934,0.727104058236118,15.4,10.3,1.8,9.6,29.5,13.9,19.5
0.773519250292077,1.45036323113257,0.491959003769629,14.9,16.7,5.6,40.1,3.2,13.8,5.6
0.294654066881056,0.314583049495939,0.745920885620015,11.6,1.9,21.8,7.7,35,3.3,18.7
0.202805776899982,0.165802520442689,0.861300398321416,10.5,3.5,16.6,1.1,26.5,14.6,27.2
0.247105435751641,0.171660314254486,1.08997491099927,20.5,12.9,34.9,0.4,3.7,8.5,19.2
0.307272924872438,0.324185643969219,0.762751002311245,20.9,9,24.7,7.9,8.4,26,3
0.486978318343418,0.64165966009831,0.665428021886245,26.9,20.7,2.9,17.2,24.4,3.2,4.7
0.485237414910619,0.711372874965387,0.59777007231448,28.4,10.6,9.8,19.4,18.8,3.8,9.1
0.29523775716891,0.317466023437353,0.740985616734291,14.8,7.5,10.8,7.7,23.7,22,13.6
0.243510483218847,0.193162854777545,0.950029877277315,18.4,3.4,25.3,3.6,24.3,10,14.9
0.415402532277877,0.54975129831232,0.64647875024384,7.2,16.4,7.9,14.5,22.7,20.9,10.4
0.514831028124616,0.805725746150947,0.56449856579289,22.3,6.4,15.3,22.1,11.3,0.9,21.7
0.294512688996652,0.27500250160776,0.852765657132603,10.2,13.6,19,5.5,2.5,26,23.2
0.242695819199519,0.175452718577281,1.04128235048719,10,15.2,17.6,1.2,41.6,8.2,6.1
0.435253646072238,0.657994231293023,0.570299294774709,0.4,8.5,20,17.6,5.7,25,22.8
0.500216326504498,0.722710437024735,0.609118540361458,16.9,17.5,7.5,19.5,8.9,15.5,14.2
0.440516980309941,0.487925853916738,0.779866402354801,27.8,24,9.1,12.6,10,7.3,9.1
0.39993788047889,0.581359835767659,0.584728871113048,24,3.5,10.7,15.7,6.8,19.3,19.9
0.292897001763357,0.224724101016314,1.03636859914037,27.5,14.1,16.1,4.1,2,14.3,21.9
0.354478304833023,0.299211834027066,0.984180006751954,5.2,26.5,9.9,5.3,8.4,7.1,37.5
0.43736138190472,0.632662084732275,0.596465934993416,6.2,6.3,16.3,17.1,22.5,4.4,27.1
